,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,C1,C2,C3,C4,C5,C6
C5-0,2008,2,1802,1102,1047,1759,1309,1125,1339,1517,1684,1507,1554,1074,0,0,0,0,1,0
C5-1,2008,3,2038,1267,1254,1995,1430,1364,1480,1604,1677,1640,1985,1223,0,0,0,0,1,0
C5-2,2008,4,2374,1468,1404,2438,1695,1581,1588,1845,1867,1902,2011,1459,0,0,0,0,1,0
C5-3,2009,2,2589,1498,1687,2705,1836,1690,1909,2033,2185,2031,2164,1379,0,0,0,0,1,0
C5-4,2009,3,3141,1696,1947,3141,2208,2034,2089,2400,2334,2301,2360,1694,0,0,0,0,1,0
C5-5,2009,4,3585,1988,1993,3642,2481,2507,2201,2383,2467,2589,3067,1841,0,0,0,0,1,0
C5-6,2010,2,3728,2033,2233,4474,2452,2752,2589,2932,2707,2796,3188,2094,0,0,0,0,1,0
C5-7,2010,3,4426,2123,2461,4843,2974,3195,2446,3172,2969,2853,3195,2369,0,0,0,0,1,0
C5-8,2010,4,4861,2510,2630,5500,2919,3502,2787,3530,3602,3126,3760,2679,0,0,0,0,1,0
C5-9,2011,2,5570,2735,2935,5969,3130,4026,3122,3646,3975,3596,4322,2973,0,0,0,0,1,0
C5-10,2011,3,6307,2918,3220,6710,3756,4442,3369,3842,4317,4141,4426,3363,0,0,0,0,1,0
C5-11,2011,4,7998,3281,3891,7749,3945,4852,4098,4086,4761,4231,5245,3981,0,0,0,0,1,0
C5-12,2012,2,8839,3645,4035,8412,4505,5309,3922,5022,5217,4124,5898,4081,0,0,0,0,1,0
C5-13,2012,3,9731,4023,4534,11472,5137,6003,4476,4750,5162,4673,6814,4594,0,0,0,0,1,0
C5-14,2012,4,10464,4413,5506,11329,5798,7699,5685,6314,6180,5041,7275,5352,0,0,0,0,1,0
C5-15,2013,2,12140,5050,6172,13802,6025,7060,5715,6137,6837,6074,7805,5348,0,0,0,0,1,0
C5-16,2013,3,13170,5819,7066,13871,6261,9286,6015,6719,7234,5903,8589,6548,0,0,0,0,1,0
C5-17,2013,4,15421,5335,7472,17084,7400,9908,7047,6918,8096,7417,9515,7676,0,0,0,0,1,0
C5-18,2014,2,16317,6764,8867,19444,8217,10842,8067,8786,9584,8061,10744,7262,0,0,0,0,1,0
C5-19,2014,3,20726,6004,9508,23276,8928,13406,9132,7969,9970,8672,11569,8754,0,0,0,0,1,0
C5-20,2014,4,24512,7219,10130,23766,10283,15121,9225,11054,10246,8563,13543,10627,0,0,0,0,1,0
C5-21,2015,2,25533,8235,11271,28800,10461,16586,10508,10373,11710,10044,15016,11328,0,0,0,0,1,0
C5-22,2015,3,29927,8782,12802,34001,11021,18124,10144,12070,13723,11273,17598,11678,0,0,0,0,1,0
C5-23,2015,4,35859,9320,15017,38238,13051,22359,13284,14411,13444,11869,18951,13954,0,0,0,0,1,0
C5-24,2016,2,41727,11520,16794,42654,14377,27934,14804,14252,16418,13015,20544,16067,0,0,0,0,1,0
C5-25,2016,3,42517,12964,18437,49799,16522,29441,16489,15330,18684,13680,22748,15881,0,0,0,0,1,0
C5-26,2016,4,47758,12990,21534,58168,16368,34565,17807,17083,20904,15492,25317,19249,0,0,0,0,1,0
C5-27,2017,2,58816,15349,22695,62639,19925,37615,19244,20366,20975,17659,28438,21047,0,0,0,0,1,0
C5-28,2017,3,59891,15623,24801,73916,23198,40693,19888,21267,23568,19432,30541,23827,0,0,0,0,1,0
C5-29,2017,4,71653,17593,29765,85587,22442,50896,21423,23805,25487,19987,34086,27734,0,0,0,0,1,0
C5-30,2018,2,85745,19903,33976,99211,24222,52341,23624,24595,27509,22955,37294,30264,0,0,0,0,1,0
C5-31,2018,3,92099,21246,39151,117120,25146,59731,27887,24629,30784,24822,38915,33693,0,0,0,0,1,0
C5-32,2018,4,98875,23201,42003,110643,29259,72801,29029,30423,33697,26614,46051,35698,0,0,0,0,1,0
