,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,C1,C2,C3,C4,C5,C6
C6-0,2008,2,1334,1670,1389,1741,1118,6452,10609,1605,1052,1392,1759,1808,0,0,0,0,0,1
C6-1,2008,3,1545,1868,1706,1971,1149,5816,11194,2112,1003,1749,1889,2383,0,0,0,0,0,1
C6-2,2008,4,1765,2252,1976,2074,1301,6670,10682,2131,1243,1756,2079,2207,0,0,0,0,0,1
C6-3,2009,2,1858,2610,2219,2448,1568,5882,10635,2904,1340,2119,2236,2955,0,0,0,0,0,1
C6-4,2009,3,1913,3000,2738,2951,1644,6601,10180,3331,1466,2095,2458,3379,0,0,0,0,0,1
C6-5,2009,4,2336,3311,2620,3461,1986,6253,10520,3670,1495,2514,2590,4120,0,0,0,0,0,1
C6-6,2010,2,2362,3442,3416,3273,2513,5834,10858,3673,1680,2693,2747,4594,0,0,0,0,0,1
C6-7,2010,3,2832,4031,3661,3669,2632,6054,10293,4303,2004,2868,3249,5152,0,0,0,0,0,1
C6-8,2010,4,3122,4462,3983,4021,3150,5845,10894,4721,1984,3398,3360,5665,0,0,0,0,0,1
C6-9,2011,2,2846,4877,4759,3934,3504,6140,10632,5051,2187,3782,3517,6551,0,0,0,0,0,1
C6-10,2011,3,3111,4863,5002,4625,4030,6256,10766,5146,2356,3891,3612,7362,0,0,0,0,0,1
C6-11,2011,4,2974,5457,4666,4442,4405,6162,11028,5856,2567,4445,3595,9659,0,0,0,0,0,1
C6-12,2012,2,2981,5301,6042,4749,5088,6353,10827,6916,2743,5256,4289,10498,0,0,0,0,0,1
C6-13,2012,3,3908,6553,6141,5383,5814,5996,11477,6560,2808,5244,4241,11728,0,0,0,0,0,1
C6-14,2012,4,3893,6272,6133,5487,6197,6438,10297,6860,3242,5789,4486,14534,0,0,0,0,0,1
C6-15,2013,2,3904,6504,6891,5941,7673,6655,11263,7266,3786,6888,4651,16157,0,0,0,0,0,1
C6-16,2013,3,4204,6629,7061,6031,7768,6037,10379,8226,3495,7489,4911,19236,0,0,0,0,0,1
C6-17,2013,4,4435,7520,6792,6262,9775,5915,10425,8331,4416,8753,4910,20804,0,0,0,0,0,1
C6-18,2014,2,4585,7712,7692,5999,11680,6062,10136,8882,4887,9503,5051,23915,0,0,0,0,0,1
C6-19,2014,3,4999,7716,7420,7112,13190,5910,11131,9615,5000,10213,5355,24805,0,0,0,0,0,1
C6-20,2014,4,4797,8961,9419,6968,15009,5821,10257,9173,5377,11285,5673,30949,0,0,0,0,0,1
C6-21,2015,2,5230,8544,8404,7051,16450,6720,10450,9621,5418,12947,6058,33556,0,0,0,0,0,1
C6-22,2015,3,4910,9565,7806,7712,16183,6146,10227,10837,6088,12871,5861,38530,0,0,0,0,0,1
C6-23,2015,4,5296,9449,9818,8504,22066,6198,11093,9417,7467,16078,6468,47226,0,0,0,0,0,1
C6-24,2016,2,5597,10050,8900,7649,23408,6560,10558,10721,8261,17628,6349,57509,0,0,0,0,0,1
C6-25,2016,3,5679,10298,10451,8105,26406,6373,10259,10954,7840,17019,7251,58355,0,0,0,0,0,1
C6-26,2016,4,5761,9937,10716,8722,30893,6633,10429,11706,10081,19858,6885,75579,0,0,0,0,0,1
C6-27,2017,2,6474,10490,10372,7856,34321,6390,9612,12618,10008,23488,6730,85011,0,0,0,0,0,1
C6-28,2017,3,6175,11488,11173,9234,40179,6160,10793,12247,10918,26823,8161,81693,0,0,0,0,0,1
C6-29,2017,4,7113,10535,11011,9509,44274,6048,9501,13008,11368,26995,7289,110954,0,0,0,0,0,1
C6-30,2018,2,6931,10794,10744,9928,55021,6228,10338,11769,12767,31462,7330,126331,0,0,0,0,0,1
C6-31,2018,3,7069,12265,12397,10380,59384,6890,10929,13562,13733,35277,8287,140547,0,0,0,0,0,1
C6-32,2018,4,7243,12591,13437,10126,68997,6319,11221,14870,16631,38795,8078,158466,0,0,0,0,0,1
