,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,C1,C2,C3,C4,C5,C6
C3-0,2008,2,1514,1179,1543,1258,1948,1364,1512,1603,1527,1458,1325,1202,0,0,1,0,0,0
C3-1,2008,3,1865,1434,1676,1384,2355,1503,1757,1899,1693,1850,1411,1377,0,0,1,0,0,0
C3-2,2008,4,2023,1685,2006,1475,2795,1557,1821,2133,2016,2122,1574,1650,0,0,1,0,0,0
C3-3,2009,2,2590,1967,2172,1720,2854,1670,1981,2478,2005,2438,1652,1753,0,0,1,0,0,0
C3-4,2009,3,2938,2136,2457,1738,3332,1757,2205,2734,2092,2748,1852,1821,0,0,1,0,0,0
C3-5,2009,4,3066,2117,2521,2067,3359,1871,2620,2713,2460,2736,2051,2075,0,0,1,0,0,0
C3-6,2010,2,3506,2391,3120,2099,3513,1957,2751,2619,2757,3285,2275,2351,0,0,1,0,0,0
C3-7,2010,3,3782,2756,3220,2460,4402,2071,2784,3012,2781,3444,2028,2257,0,0,1,0,0,0
C3-8,2010,4,4106,2755,3377,2435,4756,2597,2932,3404,3036,4038,2273,2409,0,0,1,0,0,0
C3-9,2011,2,4671,3215,3813,3037,4773,2215,3538,3326,2962,3947,2584,2586,0,0,1,0,0,0
C3-10,2011,3,5082,3474,3752,2962,5403,2402,3328,3734,3188,4065,2586,2815,0,0,1,0,0,0
C3-11,2011,4,5215,3459,4140,3339,5214,2596,3777,4356,3463,4656,2824,2813,0,0,1,0,0,0
C3-12,2012,2,5388,3728,4454,2981,6139,2888,3704,4167,3484,4716,2966,3127,0,0,1,0,0,0
C3-13,2012,3,6477,4243,4271,3807,6894,2936,3558,4331,3631,5278,3047,3180,0,0,1,0,0,0
C3-14,2012,4,6095,4455,4467,3512,6549,2885,4027,4230,3837,6044,3290,3722,0,0,1,0,0,0
C3-15,2013,2,6988,4410,4802,3899,6995,3057,4241,4570,4166,5637,3315,3593,0,0,1,0,0,0
C3-16,2013,3,7078,4536,5270,4079,7315,3014,4505,5278,4625,6202,3291,3706,0,0,1,0,0,0
C3-17,2013,4,7774,4922,6088,4485,7761,3136,4705,5088,4527,6563,3608,3843,0,0,1,0,0,0
C3-18,2014,2,7501,5287,5765,4329,7845,3459,4758,5095,4159,6664,3981,4506,0,0,1,0,0,0
C3-19,2014,3,8023,5343,6405,4830,7363,3779,4999,5519,4358,7373,3793,4459,0,0,1,0,0,0
C3-20,2014,4,8956,5383,6552,4856,7603,3620,5334,5648,4644,7846,4393,4805,0,0,1,0,0,0
C3-21,2015,2,9074,5647,7125,4909,8175,3650,5072,6808,5041,7568,4366,4751,0,0,1,0,0,0
C3-22,2015,3,9520,5912,6958,5279,8970,3631,5684,6075,4935,7864,4257,4913,0,0,1,0,0,0
C3-23,2015,4,9332,5964,7224,5165,9276,4515,5801,6314,5620,8556,4564,5075,0,0,1,0,0,0
C3-24,2016,2,10501,5592,7361,5369,9722,4052,5823,6685,5937,8673,4569,4843,0,0,1,0,0,0
C3-25,2016,3,10491,6638,7576,5478,9678,4404,6038,6853,6018,8501,4397,5650,0,0,1,0,0,0
C3-26,2016,4,10357,6391,7563,5728,9366,4579,7150,7132,5495,9685,4474,5504,0,0,1,0,0,0
C3-27,2017,2,10616,6745,7922,5857,11173,4680,6207,7132,5223,9475,4832,5873,0,0,1,0,0,0
C3-28,2017,3,10582,6772,8055,6150,10706,4658,6652,7628,5540,10316,5035,5711,0,0,1,0,0,0
C3-29,2017,4,12056,7737,8873,6125,10732,4758,7560,7805,6293,9790,5254,6006,0,0,1,0,0,0
C3-30,2018,2,10792,7628,8856,6698,11154,4737,6520,7847,6684,11052,5450,6943,0,0,1,0,0,0
C3-31,2018,3,12923,7414,9163,6472,11293,5085,7532,7392,6955,10301,5357,6144,0,0,1,0,0,0
C3-32,2018,4,11255,8641,9232,7070,12642,5329,7077,8839,6199,10372,6062,6800,0,0,1,0,0,0
