,Year,Quarter,Revenue,Cost of revenue,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Stock price,C1,C2,C3,C4,C5,C6
C2-0,2008,2,8683,11918,984,8186,4083,12989,11708,3015,18418,6048,8990,1993,0,1,0,0,0,0
C2-1,2008,3,8302,12056,1345,8178,3936,11192,11110,3216,19862,6258,9198,2086,0,1,0,0,0,0
C2-2,2008,4,8693,12201,1679,8254,3980,12539,11725,2990,17589,6447,8650,1920,0,1,0,0,0,0
C2-3,2009,2,8380,13741,2108,7863,3978,11249,11996,3172,18262,6533,9514,2031,0,1,0,0,0,0
C2-4,2009,3,8686,12428,2548,8184,3691,12204,12049,2981,19613,6382,9484,2335,0,1,0,0,0,0
C2-5,2009,4,8406,11798,3004,7588,3927,12278,12557,2991,18654,6186,9689,2339,0,1,0,0,0,0
C2-6,2010,2,8926,13112,3389,8621,4187,11078,11991,2948,16647,6613,10198,2319,0,1,0,0,0,0
C2-7,2010,3,8314,11801,3555,7929,4204,11556,11901,2908,18601,6527,10398,2236,0,1,0,0,0,0
C2-8,2010,4,8513,13815,3902,8249,3644,12550,11745,3181,18955,5989,10124,2324,0,1,0,0,0,0
C2-9,2011,2,8118,11575,4660,7183,4167,12147,12067,3146,18276,6254,9649,2359,0,1,0,0,0,0
C2-10,2011,3,7874,11540,5047,7896,3942,12351,12346,3014,17103,5428,9806,2644,0,1,0,0,0,0
C2-11,2011,4,8178,12677,5325,8253,4011,11915,11847,2897,17793,5948,9721,2772,0,1,0,0,0,0
C2-12,2012,2,8378,11166,5776,8036,3976,11935,12691,3061,18468,5996,9951,2448,0,1,0,0,0,0
C2-13,2012,3,7616,13248,6088,7840,4295,11592,10922,3262,18713,6315,10316,2399,0,1,0,0,0,0
C2-14,2012,4,8300,13173,6483,7862,4276,11225,11558,3250,18060,6196,9907,2782,0,1,0,0,0,0
C2-15,2013,2,8697,11031,7217,8802,3968,11000,11086,3085,18890,6491,10090,2818,0,1,0,0,0,0
C2-16,2013,3,8210,13223,8183,8656,4365,11223,11783,3016,17714,6962,10024,2695,0,1,0,0,0,0
C2-17,2013,4,7859,12221,7354,7837,3791,11582,10560,3248,19772,6439,9317,2802,0,1,0,0,0,0
C2-18,2014,2,8123,12162,7761,8212,4158,12749,11396,3202,18430,6508,10873,2846,0,1,0,0,0,0
C2-19,2014,3,8761,11427,8154,8369,4162,12220,11243,3039,19772,5783,9872,2804,0,1,0,0,0,0
C2-20,2014,4,8437,12295,9828,8680,3680,11793,11694,3113,17886,6686,8996,3127,0,1,0,0,0,0
C2-21,2015,2,7877,12602,9551,8463,4319,11526,11937,3450,19098,6459,9832,2898,0,1,0,0,0,0
C2-22,2015,3,8528,12049,9720,8559,4313,12123,10855,3193,19620,6135,9223,3022,0,1,0,0,0,0
C2-23,2015,4,8149,11627,10377,7776,4034,11376,11828,3137,15763,6313,9752,3034,0,1,0,0,0,0
C2-24,2016,2,7926,12474,10968,8141,4076,12132,11224,3207,18883,6050,9592,3030,0,1,0,0,0,0
C2-25,2016,3,7891,11935,11113,8162,4159,12419,11983,3385,17704,5794,9349,3329,0,1,0,0,0,0
C2-26,2016,4,8059,11521,11828,7285,4433,11700,12229,3026,18826,6870,8929,3342,0,1,0,0,0,0
C2-27,2017,2,8721,11513,11348,8299,4230,13853,10769,2753,18330,6623,9628,3396,0,1,0,0,0,0
C2-28,2017,3,8371,12005,12770,7681,3301,12338,12792,2848,19759,6246,9331,3313,0,1,0,0,0,0
C2-29,2017,4,8829,12351,13629,8211,3961,12310,11078,3269,19449,6038,9781,3497,0,1,0,0,0,0
C2-30,2018,2,9109,12539,12131,7818,4058,11943,12343,3099,18535,6728,9698,3244,0,1,0,0,0,0
C2-31,2018,3,8253,13627,14330,8707,4146,11930,12221,3156,18003,6357,10051,3451,0,1,0,0,0,0
C2-32,2018,4,8385,11534,14549,7806,3970,11606,12044,3081,19117,6432,9823,3553,0,1,0,0,0,0
