Description:           Master Index of EDGAR Dissemination Feed by Company Name
Last Data Received:    December 31, 1994
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
Company Name                                                  Form Type   CIK         Date Filed  File Name
---------------------------------------------------------------------------------------------------------------------------------------------
109 WEST MAIN ST INC                                          424B4       929268      1994-12-12  edgar/data/929268/0000912057-94-004163.txt          
109 WEST MAIN ST INC                                          S-3/A       929268      1994-10-26  edgar/data/929268/0000912057-94-003533.txt          
109 WEST MAIN ST INC                                          S-3/A       929268      1994-11-18  edgar/data/929268/0000912057-94-003959.txt          
109 WEST MAIN ST INC                                          S-3/A       929268      1994-12-05  edgar/data/929268/0000912057-94-004102.txt          
109 WEST MAIN ST INC                                          S-3/A       929268      1994-12-08  edgar/data/929268/0000912057-94-004138.txt          
111 CORCORAN FUNDS                                            485APOS     883496      1994-10-03  edgar/data/883496/0000883496-94-000010.txt          
111 CORCORAN FUNDS                                            497         883496      1994-12-07  edgar/data/883496/0000883496-94-000011.txt          
111 CORCORAN FUNDS                                            497         883496      1994-12-29  edgar/data/883496/0000883496-94-000012.txt          
121 EAST MAIN ST INC                                          424B4       929269      1994-12-12  edgar/data/929269/0000912057-94-004163.txt          
121 EAST MAIN ST INC                                          S-3/A       929269      1994-10-26  edgar/data/929269/0000912057-94-003533.txt          
121 EAST MAIN ST INC                                          S-3/A       929269      1994-11-18  edgar/data/929269/0000912057-94-003959.txt          
121 EAST MAIN ST INC                                          S-3/A       929269      1994-12-05  edgar/data/929269/0000912057-94-004102.txt          
121 EAST MAIN ST INC                                          S-3/A       929269      1994-12-08  edgar/data/929269/0000912057-94-004138.txt          
1838 BOND DEBENTURE TRADING FUND                              NSAR-A      30125       1994-11-28  edgar/data/30125/0000030125-94-000001.txt           
20TH CENTURY INDUSTRIES                                       SC 13D      100331      1994-12-27  edgar/data/100331/0000950123-94-002106.txt          
21ST CENTURY TRUST SERIES 5                                   485BPOS     888059      1994-10-05  edgar/data/888059/0000950138-94-000079.txt          
21ST CENTURY TRUST SERIES 6                                   485BPOS     889525      1994-10-05  edgar/data/889525/0000950138-94-000079.txt          
21ST CENTURY TRUST SERIES 8                                   485BPOS     899875      1994-10-05  edgar/data/899875/0000950138-94-000080.txt          
3333 HOLDING CORP                                             10-Q        818762      1994-11-14  edgar/data/818762/0000950134-94-001349.txt          
3COM CORP                                                     10-Q        738076      1994-10-17  edgar/data/738076/0000738076-94-000025.txt          
3COM CORP                                                     8-K         738076      1994-11-02  edgar/data/738076/0000738076-94-000026.txt          
3COM CORP                                                     8-K         738076      1994-11-22  edgar/data/738076/0000738076-94-000027.txt          
A L LABORATORIES INC                                          10-Q        730469      1994-11-10  edgar/data/730469/0000730469-94-000011.txt          
A L LABORATORIES INC                                          8-K         730469      1994-10-17  edgar/data/730469/0000730469-94-000010.txt          
A M A FINANCIAL CORP                                          SC 13D/A    928339      1994-10-03  edgar/data/928339/0000950109-94-001781.txt          
AAR CORP                                                      10-Q        1750        1994-10-14  edgar/data/1750/0000912057-94-003411.txt            
AAR CORP                                                      S-8         1750        1994-10-14  edgar/data/1750/0000912057-94-003407.txt            
AARP CASH INVESTMENT FUNDS                                    NSAR-B      713331      1994-11-28  edgar/data/713331/0000713331-94-000008.txt          
AARP GROWTH TRUST                                             NSAR-B      747676      1994-11-28  edgar/data/747676/0000747676-94-000003.txt          
AARP INCOME TRUST                                             NSAR-B      747677      1994-11-28  edgar/data/747677/0000747677-94-000003.txt          
AARP TAX FREE INCOME TRUST                                    NSAR-B      747678      1994-11-28  edgar/data/747678/0000747678-94-000003.txt          
ABBOTT LABORATORIES                                           10-Q        1800        1994-11-10  edgar/data/1800/0000912057-94-003805.txt            
ABBOTT LABORATORIES                                           S-8         1800        1994-12-16  edgar/data/1800/0000912057-94-004215.txt            
ABT INVESTMENT SERIES INC                                     NSAR-B      701164      1994-12-30  edgar/data/701164/0000701164-94-000004.txt          
ACCEPTANCE INSURANCE COMPANIES INC                            10-Q        74783       1994-11-14  edgar/data/74783/0000074783-94-000029.txt           
ACCEPTANCE INSURANCE COMPANIES INC                            SC 13D      74783       1994-11-29  edgar/data/74783/0000898431-94-000051.txt           
ACE HARDWARE CORP                                             10-Q        2024        1994-11-15  edgar/data/2024/0000002024-94-000020.txt            
ACKERLEY COMMUNICATIONS INC                                   10-Q        319120      1994-11-14  edgar/data/319120/0000912057-94-003866.txt          
ACKERLEY COMMUNICATIONS INC                                   S-8         319120      1994-12-28  edgar/data/319120/0000912057-94-004340.txt          
ACM INSTITUTIONAL RESERVES INC                                NSAR-A      862021      1994-12-29  edgar/data/862021/0000862021-94-000159.txt          
ACM MANAGED DOLLAR INCOME FUND INC                            NSAR-B      910524      1994-11-29  edgar/data/910524/0000921325-94-000020.txt          
ACM MANAGED INCOME FUND INC /NY/                              NSAR-B      838133      1994-10-28  edgar/data/838133/0000921325-94-000018.txt          
ACM MUNICIPAL SECURITIES INCOME FUND INC                      NSAR-B      897513      1994-12-27  edgar/data/897513/0000897513-94-000001.txt          
ACMAT CORP                                                    SC 13G      2062        1994-11-10  edgar/data/2062/0000038777-94-000122.txt            
ACME METALS INC /DE/                                          10-Q        883702      1994-11-09  edgar/data/883702/0000912057-94-003771.txt          
ACME METALS INC /DE/                                          8-K         883702      1994-10-21  edgar/data/883702/0000912057-94-003475.txt          
ACNB CORP                                                     10-Q        715579      1994-11-03  edgar/data/715579/0000950109-94-001985.txt          
ACTAVA GROUP INC                                              10-K/A      39547       1994-10-07  edgar/data/39547/0000950144-94-001762.txt           
ACTAVA GROUP INC                                              10-K/A      39547       1994-10-31  edgar/data/39547/0000950144-94-001877.txt           
ACTAVA GROUP INC                                              10-K/A      39547       1994-11-04  edgar/data/39547/0000950144-94-001920.txt           
ACTAVA GROUP INC                                              10-Q        39547       1994-11-14  edgar/data/39547/0000950144-94-002008.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-10-05  edgar/data/39547/0000950144-94-001744.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-10-05  edgar/data/39547/0000950144-94-001745.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-10-05  edgar/data/39547/0000950144-94-001746.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-10-07  edgar/data/39547/0000950144-94-001763.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-10-07  edgar/data/39547/0000950144-94-001765.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-10-31  edgar/data/39547/0000950144-94-001875.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-10-31  edgar/data/39547/0000950144-94-001876.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-11-04  edgar/data/39547/0000950144-94-001919.txt           
ACTAVA GROUP INC                                              10-Q/A      39547       1994-11-04  edgar/data/39547/0000950144-94-001922.txt           
ACTAVA GROUP INC                                              8-K         39547       1994-10-21  edgar/data/39547/0000950144-94-001836.txt           
ACTAVA GROUP INC                                              8-K         39547       1994-10-31  edgar/data/39547/0000950144-94-001878.txt           
ACTAVA GROUP INC                                              8-K         39547       1994-12-21  edgar/data/39547/0000950144-94-002151.txt           
ACTAVA GROUP INC                                              8-K/A       39547       1994-10-07  edgar/data/39547/0000950144-94-001764.txt           
ACTAVA GROUP INC                                              8-K/A       39547       1994-10-07  edgar/data/39547/0000950144-94-001766.txt           
ACTAVA GROUP INC                                              8-K/A       39547       1994-11-04  edgar/data/39547/0000950144-94-001921.txt           
ACTAVA GROUP INC                                              DEFR14A     39547       1994-11-03  edgar/data/39547/0000950144-94-001897.txt           
ACTAVA GROUP INC                                              PRER14A     39547       1994-10-07  edgar/data/39547/0000950144-94-001768.txt           
ACTAVA GROUP INC                                              PRER14A     39547       1994-10-31  edgar/data/39547/0000950144-94-001879.txt           
ACTION INDUSTRIES INC                                         10-Q        2145        1994-11-08  edgar/data/2145/0000002145-94-000014.txt            
ACTION INDUSTRIES INC                                         DEF 14A     2145        1994-10-26  edgar/data/2145/0000002145-94-000012.txt            
ACUSON CORP                                                   10-Q        717014      1994-11-14  edgar/data/717014/0000898430-94-000870.txt          
ACXIOM CORP                                                   10-Q        733269      1994-11-02  edgar/data/733269/0000904511-94-000014.txt          
ACXIOM CORP                                                   DEF 14A     733269      1994-11-10  edgar/data/733269/0000904511-94-000015.txt          
ACXIOM CORP                                                   PRE 14A     733269      1994-10-27  edgar/data/733269/0000904511-94-000013.txt          
ACXIOM CORP                                                   SC 13D/A    733269      1994-11-14  edgar/data/733269/0000895418-94-000007.txt          
ADAPTEC INC                                                   SC 13G/A    709804      1994-12-09  edgar/data/709804/0000315066-94-001840.txt          
ADC TELECOMMUNICATIONS INC                                    10-K        61478       1994-12-22  edgar/data/61478/0000912057-94-004277.txt           
ADC TELECOMMUNICATIONS INC                                    10-Q/A      61478       1994-12-14  edgar/data/61478/0000912057-94-004190.txt           
ADDINGTON RESOURCES INC                                       10-Q        810665      1994-11-14  edgar/data/810665/0000950131-94-001778.txt          
ADDINGTON RESOURCES INC                                       8-K         810665      1994-10-21  edgar/data/810665/0000911959-94-000026.txt          
ADELPHIA COMMUNICATIONS CORP                                  10-Q        796486      1994-11-14  edgar/data/796486/0000796486-94-000013.txt          
